IP:Port,Loss,Latency
188.114.96.214:8854,0%,2.20
188.114.99.22:4233,0%,2.21
188.114.96.233:4177,0%,2.23
162.159.195.20:945,0%,2.23
188.114.99.215:7103,0%,2.24
162.159.192.186:4500,0%,2.25
188.114.99.27:4177,0%,2.27
162.159.192.231:946,0%,2.28
188.114.99.134:2506,0%,2.31
188.114.99.196:8319,0%,2.31
162.159.195.32:3138,0%,2.33
188.114.96.37:4500,0%,2.33
162.159.195.212:988,0%,2.33
188.114.98.61:5956,0%,2.33
188.114.98.46:939,0%,2.34
188.114.96.39:8886,0%,2.34
162.159.195.143:1180,0%,2.34
162.159.195.109:928,0%,2.35
162.159.195.238:988,0%,2.35
188.114.99.98:908,0%,2.36
162.159.192.189:988,0%,2.36
188.114.97.98:864,0%,2.36
162.159.195.152:8742,0%,2.37
188.114.98.205:854,0%,2.37
162.159.192.254:880,0%,2.37
188.114.97.50:946,0%,2.37
188.114.99.229:1387,0%,2.37
162.159.195.19:8742,0%,2.38
162.159.192.57:968,0%,2.38
188.114.96.234:943,0%,2.39
162.159.192.160:500,0%,2.39
162.159.192.18:7103,0%,2.40
162.159.192.252:2371,0%,2.40
162.159.192.157:968,0%,2.40
188.114.99.120:946,0%,2.42
162.159.192.3:946,0%,2.42
188.114.98.201:968,0%,2.43
188.114.99.130:3476,0%,2.43
162.159.192.180:1018,0%,2.44
188.114.97.244:5279,0%,2.44
188.114.97.243:891,0%,2.44
162.159.192.157:1701,0%,2.44
188.114.96.107:890,0%,2.44
162.159.195.13:2408,0%,2.45
162.159.195.51:1180,0%,2.45
188.114.99.159:894,0%,2.46
188.114.97.90:943,0%,2.47
188.114.99.81:2371,0%,2.47
188.114.97.236:903,0%,2.48
188.114.96.38:880,0%,2.48
188.114.98.230:4233,0%,2.48
162.159.192.136:4233,0%,2.48
162.159.192.134:943,0%,2.49
162.159.195.201:908,0%,2.49
162.159.192.15:1070,0%,2.49
162.159.195.141:1014,0%,2.50
188.114.97.74:988,0%,2.50
188.114.97.250:890,0%,2.50
188.114.96.230:4233,0%,2.50
188.114.97.48:1070,0%,2.50
188.114.96.129:3138,0%,2.51
188.114.99.141:7152,0%,2.52
188.114.96.117:942,0%,2.53
162.159.192.13:2371,0%,2.54
188.114.99.223:968,0%,2.54
162.159.192.25:939,0%,2.54
162.159.192.175:1387,0%,2.55
162.159.195.160:7103,0%,2.55
188.114.97.12:4500,0%,2.56
162.159.195.26:878,0%,2.56
188.114.98.82:1010,0%,2.56
188.114.97.62:1002,0%,2.56
188.114.98.109:2408,0%,2.56
188.114.96.108:4177,0%,2.57
162.159.195.244:1074,0%,2.57
188.114.97.127:880,0%,2.57
162.159.195.209:880,0%,2.57
162.159.192.246:2506,0%,2.58
188.114.96.204:903,0%,2.58
188.114.97.19:7156,0%,2.58
162.159.192.100:1387,0%,2.59
162.159.192.145:878,0%,2.60
188.114.98.177:1002,0%,2.60
188.114.98.74:8854,0%,2.60
188.114.98.18:945,0%,2.61
188.114.99.18:1002,0%,2.61
162.159.195.184:2506,0%,2.61
188.114.98.59:854,0%,2.63
162.159.192.59:8742,0%,2.64
188.114.97.0:7559,0%,2.64
162.159.192.0:4500,0%,2.64
188.114.96.166:1180,0%,2.64
162.159.195.250:8742,0%,2.64
188.114.97.43:4233,0%,2.64
162.159.195.52:1843,0%,2.64
188.114.99.58:1018,0%,2.64
188.114.97.149:7156,0%,2.65
188.114.99.234:8742,0%,2.65
188.114.98.196:4500,0%,2.65
188.114.98.63:8854,0%,2.65
162.159.195.146:500,0%,2.65
188.114.99.207:1180,0%,2.66
162.159.192.32:988,0%,2.67
188.114.99.128:1387,0%,2.67
188.114.99.25:1843,0%,2.67
162.159.192.201:8854,0%,2.67
188.114.96.228:3854,0%,2.68
188.114.96.191:8742,0%,2.68
188.114.96.106:8854,0%,2.68
162.159.192.45:7156,0%,2.68
188.114.96.116:880,0%,2.69
188.114.99.179:1014,0%,2.69
188.114.99.251:2408,0%,2.69
162.159.192.226:945,0%,2.69
162.159.195.28:3854,0%,2.69
162.159.192.3:903,0%,2.70
162.159.195.114:880,0%,2.71
162.159.192.110:1018,0%,2.71
162.159.195.95:928,0%,2.71
188.114.97.17:1843,0%,2.72
188.114.96.171:942,0%,2.72
162.159.195.27:7152,0%,2.72
188.114.99.161:854,0%,2.72
188.114.98.152:2408,0%,2.73
162.159.192.192:946,0%,2.73
188.114.96.210:859,0%,2.73
188.114.96.56:5279,0%,2.73
162.159.192.249:859,0%,2.74
188.114.96.87:934,0%,2.74
188.114.98.167:934,0%,2.74
162.159.192.72:3581,0%,2.74
162.159.192.195:2506,0%,2.75
162.159.192.85:4500,0%,2.75
188.114.98.125:891,0%,2.75
188.114.98.104:5279,0%,2.75
188.114.99.242:859,0%,2.75
162.159.192.74:7103,0%,2.76
162.159.195.242:2408,0%,2.76
188.114.98.168:7281,0%,2.76
188.114.96.178:3476,0%,2.76
