91.187.93.166,443,AD,Andorra Telecom
85.237.211.59,8443,AE,Private Customer
38.180.27.224,2083,AE,3NT SOLUTIONS LLP
152.32.181.246,44070,AE,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED
139.185.39.237,48008,AE,Oracle Corporation
193.123.90.82,12648,AE,Oracle Corporation
176.97.78.80,2053,AE,IROKO Networks Corporation
38.180.27.224,2087,AE,3NT SOLUTIONS LLP
176.97.66.175,443,AE,3nt solutions LLP
38.180.11.123,2053,AE,3NT SOLUTIONS LLP
38.180.27.237,8443,AE,3NT SOLUTIONS LLP
193.123.66.187,34501,AE,Oracle Corporation
38.180.11.201,443,AE,3NT SOLUTIONS LLP
139.185.34.131,443,AE,Oracle Corporation
84.235.245.18,34501,AE,Oracle Svenska AB
193.123.81.105,443,AE,Oracle Corporation
45.86.228.104,443,AE,BlueVPS OU
217.195.200.52,443,AE,G-Core Labs Customer assignment
176.97.78.80,443,AE,IROKO Networks Corporation
40.120.108.47,443,AE,Microsoft Corporation
217.195.200.138,443,AE,G-Core Labs Customer assignment
129.151.128.105,16731,AE,Oracle Corporation
129.151.128.114,34834,AE,Oracle Corporation
139.185.50.5,14594,AE,Oracle Corporation
20.157.74.92,443,AE,Microsoft Corporation
176.97.67.38,443,AE,3nt solutions LLP
3.29.76.68,443,AE,Amazon Data Services UAE
3.29.115.162,8443,AE,Amazon Data Services UAE
3.28.18.132,8090,AE,Amazon Data Services UAE
40.120.108.47,2083,AE,Microsoft Corporation
20.174.15.226,443,AE,Microsoft Corporation
3.29.240.49,443,AE,Amazon Data Services UAE
3.28.62.7,443,AE,Amazon Data Services UAE
40.120.108.47,2053,AE,Microsoft Corporation
84.235.245.65,2096,AE,Oracle Svenska AB
3.29.130.198,443,AE,Amazon Data Services UAE
159.100.198.106,443,AE,Aryaka Networks India Pvt Ltd
216.10.243.159,443,AE,PDR Solutions FZC
38.54.8.210,8443,AE,Kaopu Cloud HK Limited
109.61.42.105,443,AE,G-Core Labs Customer assignment
93.127.180.57,8443,AE,ONLINE SERVER TELEKOMUNIKASYON LIMITED SIRKETI
217.195.200.153,443,AE,G-Core Labs Customer assignment
89.36.162.130,443,AE,Melbikomas UAB
109.61.42.165,8443,AE,G-Core Labs Customer assignment
2a10:1fc0:b::584f:cb10,443,AE,BlueVPS OU
2001:ac8:81:165:0:7:0:2,443,AE,M247 Ltd Dubai
154.90.54.67,443,AE,Lightnode Limited
2a09:bac1:200:20::40e:2,443,AE,Cloudflare London, LLC
158.255.77.166,443,AE,Innovative Telecom Systems FZE
20.233.24.252,443,AE,Microsoft Corporation
146.70.131.99,443,AE,M247 Europe - Dubai Infrastructure
