IP:Port,Loss,Latency
188.114.98.43:8854,0%,2.10
188.114.99.173:2408,0%,2.11
162.159.192.61:1014,0%,2.11
188.114.99.220:1180,0%,2.16
162.159.195.186:8319,0%,2.17
188.114.98.206:878,0%,2.18
188.114.98.236:4198,0%,2.20
162.159.192.149:4198,0%,2.21
188.114.96.135:8886,0%,2.22
188.114.96.69:3138,0%,2.26
162.159.195.93:942,0%,2.27
162.159.192.244:7156,0%,2.27
188.114.99.164:1014,0%,2.27
162.159.192.232:890,0%,2.28
162.159.192.251:854,0%,2.29
188.114.99.204:854,0%,2.30
188.114.97.32:942,0%,2.30
188.114.96.172:1180,0%,2.31
188.114.98.77:1002,0%,2.31
162.159.195.3:8319,0%,2.31
188.114.96.64:7156,0%,2.32
188.114.98.105:7152,0%,2.32
188.114.96.141:908,0%,2.33
188.114.97.148:894,0%,2.35
162.159.195.117:1180,0%,2.36
162.159.195.90:7103,0%,2.36
162.159.195.119:864,0%,2.38
162.159.195.197:1002,0%,2.38
162.159.192.32:7103,0%,2.39
188.114.98.142:4198,0%,2.39
188.114.99.83:7152,0%,2.40
188.114.96.75:928,0%,2.40
188.114.97.43:878,0%,2.40
162.159.195.101:987,0%,2.41
162.159.192.63:4233,0%,2.41
162.159.195.29:1387,0%,2.41
188.114.96.213:880,0%,2.41
188.114.99.83:854,0%,2.41
188.114.97.248:859,0%,2.41
188.114.98.218:934,0%,2.42
188.114.97.92:1014,0%,2.43
188.114.97.42:4177,0%,2.43
188.114.98.15:894,0%,2.43
188.114.99.229:8742,0%,2.44
188.114.98.212:2506,0%,2.45
162.159.192.59:934,0%,2.46
188.114.97.105:891,0%,2.47
188.114.98.152:854,0%,2.47
162.159.192.100:854,0%,2.47
188.114.99.50:4177,0%,2.47
162.159.195.190:908,0%,2.47
188.114.97.2:878,0%,2.47
188.114.98.226:3138,0%,2.48
162.159.192.157:2506,0%,2.48
188.114.97.192:864,0%,2.48
188.114.96.32:5956,0%,2.48
188.114.98.155:2371,0%,2.50
162.159.195.251:942,0%,2.50
162.159.195.111:500,0%,2.50
162.159.195.70:3476,0%,2.52
188.114.98.248:988,0%,2.53
188.114.96.43:8319,0%,2.53
188.114.98.62:988,0%,2.53
188.114.96.216:1018,0%,2.53
188.114.99.72:943,0%,2.53
188.114.97.31:3138,0%,2.53
188.114.99.12:894,0%,2.54
188.114.96.119:890,0%,2.54
188.114.97.213:945,0%,2.54
188.114.96.194:5956,0%,2.55
162.159.192.198:7156,0%,2.55
162.159.192.56:3476,0%,2.55
188.114.98.66:1701,0%,2.55
188.114.98.96:3581,0%,2.55
188.114.96.83:854,0%,2.56
188.114.98.36:859,0%,2.56
188.114.97.236:7152,0%,2.56
188.114.99.213:988,0%,2.56
188.114.99.172:859,0%,2.56
162.159.192.70:2371,0%,2.57
188.114.96.214:987,0%,2.57
188.114.98.249:7103,0%,2.57
188.114.98.172:864,0%,2.57
188.114.98.86:943,0%,2.58
162.159.195.145:946,0%,2.58
188.114.97.54:903,0%,2.58
188.114.96.45:859,0%,2.58
162.159.192.117:2371,0%,2.59
188.114.97.179:5956,0%,2.59
188.114.97.188:1070,0%,2.59
188.114.96.44:4500,0%,2.60
162.159.192.160:968,0%,2.61
162.159.192.155:955,0%,2.61
188.114.99.141:4177,0%,2.61
162.159.192.74:8742,0%,2.61
188.114.96.132:1180,0%,2.62
162.159.192.177:7156,0%,2.62
188.114.97.183:500,0%,2.63
188.114.97.22:2506,0%,2.63
188.114.96.39:2506,0%,2.63
188.114.96.239:500,0%,2.63
188.114.99.177:8319,0%,2.63
188.114.97.232:878,0%,2.64
188.114.97.9:891,0%,2.64
188.114.97.6:1701,0%,2.64
188.114.99.16:903,0%,2.64
188.114.98.153:934,0%,2.64
162.159.192.139:3476,0%,2.64
188.114.99.215:1010,0%,2.64
188.114.97.74:7152,0%,2.65
162.159.195.143:1010,0%,2.65
162.159.195.224:1180,0%,2.66
188.114.98.54:859,0%,2.66
188.114.99.129:8886,0%,2.67
188.114.97.23:1843,0%,2.67
188.114.99.181:7103,0%,2.67
188.114.98.239:908,0%,2.67
188.114.98.140:7281,0%,2.68
188.114.98.121:880,0%,2.68
188.114.96.217:7281,0%,2.68
188.114.96.226:908,0%,2.68
188.114.97.32:1701,0%,2.68
188.114.98.37:500,0%,2.69
188.114.98.168:942,0%,2.69
188.114.96.26:934,0%,2.70
188.114.97.120:1070,0%,2.70
162.159.195.134:5279,0%,2.70
162.159.195.22:854,0%,2.70
188.114.98.170:1070,0%,2.71
188.114.97.196:1018,0%,2.71
188.114.98.28:4500,0%,2.71
162.159.195.99:8742,0%,2.71
188.114.97.126:894,0%,2.71
188.114.99.9:8742,0%,2.72
162.159.195.3:1843,0%,2.73
188.114.99.85:7559,0%,2.73
188.114.96.94:1387,0%,2.74
188.114.98.162:7152,0%,2.74
162.159.195.148:955,0%,2.75
162.159.192.206:7559,0%,2.75
188.114.99.211:939,0%,2.76
