IP Address, Port, TLS, Data Center, Region, City, ASN, latency
45.144.167.46,19816,true,SIN,Asia Pacific,Singapore,56309,5 ms
212.80.213.45,31244,true,SIN,Asia Pacific,Singapore,56309,7 ms
43.229.149.251,2053,true,SIN,Asia Pacific,Singapore,56309,7 ms
43.229.149.251,8443,true,SIN,Asia Pacific,Singapore,56309,8 ms
45.136.238.235,24370,true,SIN,Asia Pacific,Singapore,9335,10 ms
83.142.30.4,2096,true,SIN,Asia Pacific,Singapore,136510,27 ms
83.142.30.5,2096,true,SIN,Asia Pacific,Singapore,136510,28 ms
213.35.108.135,12596,true,SIN,Asia Pacific,Singapore,31898,29 ms
8.219.59.132,48130,true,SIN,Asia Pacific,Singapore,45102,29 ms
194.127.193.124,24467,true,SIN,Asia Pacific,Singapore,59253,29 ms
168.138.171.70,23280,true,SIN,Asia Pacific,Singapore,31898,29 ms
194.36.179.5,2053,true,SIN,Asia Pacific,Singapore,200740,29 ms
15.235.199.103,8443,true,SIN,Asia Pacific,Singapore,16276,29 ms
8.219.58.164,57373,true,SIN,Asia Pacific,Singapore,45102,29 ms
138.2.69.236,23334,true,SIN,Asia Pacific,Singapore,31898,30 ms
194.127.193.240,50791,true,SIN,Asia Pacific,Singapore,59253,30 ms
139.180.215.77,57878,true,SIN,Asia Pacific,Singapore,20473,30 ms
3.1.116.161,8443,true,SIN,Asia Pacific,Singapore,16509,30 ms
104.248.145.216,443,true,SIN,Asia Pacific,Singapore,14061,30 ms
129.150.36.188,53435,true,SIN,Asia Pacific,Singapore,31898,30 ms
15.235.199.103,2053,true,SIN,Asia Pacific,Singapore,16276,30 ms
158.178.246.142,61731,true,SIN,Asia Pacific,Singapore,31898,30 ms
194.36.179.17,8443,true,SIN,Asia Pacific,Singapore,200740,31 ms
47.74.254.191,8900,true,SIN,Asia Pacific,Singapore,45102,31 ms
161.117.249.114,2025,true,SIN,Asia Pacific,Singapore,45102,31 ms
31.192.238.71,8443,true,SIN,Asia Pacific,Singapore,44493,31 ms
38.60.193.247,13300,true,KUL,Asia Pacific,Kuala Lumpur,138915,31 ms
138.2.95.61,1111,true,SIN,Asia Pacific,Singapore,31898,32 ms
168.138.170.211,53702,true,SIN,Asia Pacific,Singapore,31898,32 ms
54.169.229.188,443,true,SIN,Asia Pacific,Singapore,16509,32 ms
143.198.196.196,2053,true,SIN,Asia Pacific,Singapore,14061,33 ms
38.181.70.7,16240,true,SIN,Asia Pacific,Singapore,138997,33 ms
213.35.107.73,443,true,SIN,Asia Pacific,Singapore,31898,33 ms
178.128.80.43,443,true,SIN,Asia Pacific,Singapore,14061,33 ms
8.219.59.132,48964,true,SIN,Asia Pacific,Singapore,45102,33 ms
47.236.119.190,51342,true,SIN,Asia Pacific,Singapore,45102,33 ms
146.235.19.79,28983,true,SIN,Asia Pacific,Singapore,31898,33 ms
3.1.116.161,2053,true,SIN,Asia Pacific,Singapore,16509,33 ms
185.81.28.95,30503,true,SIN,Asia Pacific,Singapore,61112,33 ms
8.222.220.81,25435,true,SIN,Asia Pacific,Singapore,45102,33 ms
51.79.254.182,443,true,SIN,Asia Pacific,Singapore,16276,33 ms
168.138.181.188,61731,true,SIN,Asia Pacific,Singapore,31898,33 ms
194.36.179.17,2053,true,SIN,Asia Pacific,Singapore,200740,34 ms
51.79.158.126,443,true,SIN,Asia Pacific,Singapore,16276,34 ms
158.178.243.152,61731,true,SIN,Asia Pacific,Singapore,31898,34 ms
51.79.158.58,8443,true,SIN,Asia Pacific,Singapore,16276,35 ms
47.245.95.160,1443,true,SIN,Asia Pacific,Singapore,45102,35 ms
143.42.66.91,443,true,SIN,Asia Pacific,Singapore,63949,35 ms
91.192.81.154,2053,true,SIN,Asia Pacific,Singapore,8849,35 ms
51.79.158.58,2053,true,SIN,Asia Pacific,Singapore,16276,35 ms
138.2.89.238,43254,true,SIN,Asia Pacific,Singapore,31898,35 ms
143.198.196.196,8443,true,SIN,Asia Pacific,Singapore,14061,36 ms
158.178.236.14,61731,true,SIN,Asia Pacific,Singapore,31898,36 ms
129.150.49.58,18650,true,SIN,Asia Pacific,Singapore,31898,36 ms
13.228.142.218,443,true,SIN,Asia Pacific,Singapore,16509,36 ms
171.103.13.77,30157,true,SIN,Asia Pacific,Singapore,7470,37 ms
31.192.238.71,2053,true,SIN,Asia Pacific,Singapore,44493,37 ms
13.250.131.37,443,true,SIN,Asia Pacific,Singapore,16509,38 ms
213.35.100.31,47112,true,SIN,Asia Pacific,Singapore,31898,38 ms
